Property,application_count,bedrooms,price_num,applicant_median_lon,applicant_median_lat,property_longitude,property_latitude,median_age,mean_age,min_age,max_age,median_distance_miles,avg_distance_miles,min_distance_miles,max_distance_miles
7-5 Kingson Lane,86,,159192.0,-71.3967256,42.1865609,-71.4450487,42.1469398,34.5,37.93939393939394,21.0,79.0,12.64008322100455,18.89346443697607,2.499532273995589,70.83296318931815
"74 Riley Road, Unit 88  ~ Tyngsborough",84,2.0,194301.0,-71.3085329,42.6414437,-71.4105963,42.6660971,37.0,38.0,21.0,67.0,5.6377956708616495,14.580561162543578,0.9291988482696463,113.43197026799339
24 Haywood Circle ~ Mendon,69,3.0,245800.0,-71.4694516,42.1973198,-71.5262222,42.0980133,38.0,38.21739130434783,22.0,66.0,16.55181078170631,18.545740914511764,1.5462703292860285,64.93840891404119
27 Meeting House Lane ~ Southborough,69,2.0,204948.0,-71.5196439,42.2836393,-71.5245087,42.3056501,39.0,40.84057971014493,4.0,71.0,11.861986651545083,14.532773751651957,0.0,88.17113419963164
"501 Commerce Drive, Unit 4-302 ~ Braintree",65,1.0,205743.0,-71.0041229,42.2509914,-70.973677,42.194028,32.0,33.03076923076923,23.0,59.0,4.222711703839918,8.870597449979854,2.4061279161747904,50.257271344225146
28 Longview Circle ~Ayer,63,3.0,295535.0,-71.3059497,42.548009050000005,-71.5347661,42.5557417,40.0,41.15873015873016,23.0,78.0,20.141375460495688,18.2059346401575,1.7059880358510908,57.898375680429886
"14 Caspian Way, Unit 23 ~ Leominster",60,2.0,184398.0,-71.76029015,42.5092372,-71.7322153,42.5023245,37.0,39.25,23.0,67.0,12.255413398478414,15.431573806656381,2.24999735211052,52.7907263064578
14 Autumn Lane ~ Northborough,59,2.0,201400.0,-71.5525188,42.2836393,-71.6695366,42.3310464,39.0,39.45762711864407,23.0,68.0,13.386233137655317,15.624041570438141,1.6018587789438263,81.1158764515442
"15 Jasmine Drive, Unit 17 ~ West Boylston",51,3.0,210600.0,-71.8018877,42.2625621,-71.7738064,42.3442792,39.0,39.8235294117647,24.0,73.0,7.4217238795144285,15.422449581230818,1.7273037347058666,54.54272324178124
"11 Indian Woods Way, Unit 11 ~ Canton",50,2.0,279873.0,-71.09632264999999,42.2509914,-71.0994634,42.1473091,40.0,41.78,23.0,74.0,9.79644661412236,12.172001444020811,2.4431329050540347,38.78233046640686
8 Kayak Trail ~ Norton,47,3.0,281448.0,-71.1462185,42.089394,-71.1731253,41.9821647,40.0,40.787234042553195,26.0,66.0,14.725838467342397,17.41431277438121,3.7104036261783264,55.15300081334536
42 Pine Street ~ Newton,46,2.0,222750.0,-71.19755434999999,42.347105400000004,-71.2366425,42.354279,35.5,39.58695652173913,22.0,78.0,9.50791789569866,11.272060888044859,1.5171958305736892,41.57077523944619
9 Adams Court ~ Hingham,43,3.0,374062.0,-71.0037374,42.2509914,-70.9056237,42.2392962,37.0,39.906976744186046,23.0,65.0,8.730782797846672,11.73038755043288,0.8282614133919982,57.210509771662736
178 Cortland Drive ~ North Andover,40,2.0,206600.0,-71.1408776,42.592870899999994,-71.069985,42.6868904,65.5,64.0125,28.0,85.0,12.511342090061738,18.536374574985214,3.2850744039279025,87.38189363387544
34 Beaver Pond Road ~ Milford,36,2.0,191921.0,-71.5164618,42.2699399,-71.4918832,42.1242891,35.0,37.47222222222222,21.0,74.0,18.510127318031724,21.774138507696833,1.7981843532327364,65.51997037931201
1 Millbrook Lane Unit 213 ~ Wakefield,35,2.0,196602.0,-71.0767724,42.4802635,-71.0553947,42.5005422,34.0,38.371428571428574,23.0,70.0,5.28182816677778,10.39318150693118,0.9777639031051274,69.08696221534436
"42 Turtle Brook Rd, Unit 8-2",32,,243800.0,-71.060511,42.24995285,-71.1035462,42.1692026,35.0,34.333333333333336,24.0,53.0,7.612092996442037,11.695462908536655,2.237136947551173,80.08912712192503
"1A Lindas Way, Unit 13 ~ Sterling",31,2.0,201200.0,-71.7603934,42.3912241,-71.7337766,42.4556737,40.0,41.516129032258064,23.0,64.0,13.778833466044224,16.98847379905916,1.842645495369845,35.794281562656394
North Andover Unit 109,25,,177013.0,-71.1309117,42.6414437,-71.1309117,42.7029687,32.0,37.24,20.0,66.0,9.9674914672961,10.459961088586267,0.0,40.83672182891287
18 Old Cedar Village ~ Bridgewater,25,2.0,240125.0,-71.060511,42.0834335,-71.0206423,41.9782052,43.0,43.56,25.0,73.0,12.236912105896712,13.553897424312538,2.4636499252642303,32.76532399093928
9 Minuteman Lane ~ Westford,24,2.0,213319.0,-71.195195,42.503003050000004,-71.4517381,42.5573426,32.5,33.416666666666664,19.0,59.0,17.44170098248043,20.38384363894593,8.333730667693501,42.93622334476188
72 Buttercup Lane ~ Grafton,23,2.0,231800.0,-71.6422408,42.2625621,-71.6482387,42.1716529,38.0,39.95652173913044,25.0,62.0,10.219743500344562,15.206516648229952,2.3128204994509405,52.086994754973574
"211 East St., Unit #4, ~ Easthampton",20,2.0,201300.0,-72.6719579,42.2708804,-72.6385247,42.2776222,32.0,36.7,25.0,70.0,1.7703571508753535,10.626394293615016,1.7703571508753535,80.74260215510193
59 River Point Drive ~ Ipswich,19,2.0,283773.0,-70.9971204,42.5664984,-70.8520454,42.6707128,33.0,36.73684210526316,24.0,61.0,11.927536093828863,13.24794229992845,0.8091735364937858,24.21645069863757
"100 Franklin Street, #A1 ~ Whitman",19,2.0,218988.0,-71.0183787,42.0834335,-70.9172392,42.0822361,38.0,42.68421052631579,24.0,72.0,10.864730052583543,12.915340827664755,3.3436448005368846,38.43547305303114
"401 West Center St, F2, ~ West Bridgewater",18,2.0,224200.0,-71.0183787,42.0834335,-71.0079688,42.0190922,34.0,38.5,29.0,55.0,9.196231696638591,18.116648729108185,2.70534037887119,90.84392146719496
39 Swifts Beach Road ~ Wareham,18,3.0,284640.0,-70.9397634,41.89568395,-70.7296633,41.7516909,35.0,38.22222222222222,22.0,63.0,22.200221945173634,24.844994623347283,0.8578371024452062,60.04722465085172
"12 Rebecca Way, Unit 9 ~ Methuen (55+)",18,2.0,235975.0,-71.17366759999999,42.685893,-71.2188258,42.7146746,69.5,68.33333333333333,55.0,82.0,7.6113174120191305,14.028185760600394,1.6251613576291803,81.65078246603787
